Tweet,Polarity,Subjectivity
Ukraine Emissions of Carbon Dioxide into the atmosphere by region 30DayMapChallenge Day 14: Climate change QGIS Data:,0.0,0.0
snakewithknives do you think inclus believe in climate change,0.0,0.0
Is Co2 the cause of climate change   Average orbital distance from the sun  Venus 105 m km avg temp 470 c Earth  150 m km,-0.15,0.39999999999999997
"When people lament Australias so-called ‘lost decade of inaction on climate change policy, they forget that it didnt have",0.0,0.0
Could a small fusion power reactor in Berkshire hold the answer to the energy crisis,-0.25,0.4
"Due to the planets warming climate, hurricanes are maintaining their strength after landfall for much longer, and in turn, expos",0.037500000000000006,0.2875
Fitzgibbon is bought and paid for by fossil fuels He would gladly let the country burn and give the Coalition ten,0.25,0.5
biggestjoel Also Ptubes vid on climate grief is something I return to every so often because its really good at,-0.050000000000000044,0.4
"Climate change in action, folks",0.1,0.1
"Random reminder that in order to fight climate change, we also have to fight imperialism : ",-0.5,0.5
v crouch wastingmytime59 PickardJE FT And going green wont make a scrap of difference to climate change  Which isn,-0.2,0.3
“Alaska is wild salmons last stronghold and the source of our way of life and economy in southeast Alaska Salmon need h,0.05,0.23333333333333334
"Climate change is real and its an urgent issue we need to deal with, I dont understand how some people think its fake ",-0.15,0.65
biggestjoel Oh yeah but also Im in environmental engineering so I also get to have a class where Im forced to li,-0.30000000000000004,0.2
30daymapchallenge 14 30: Climate Change Speculatively slapdash fire vs flood map of what Ventura may be up ag,0.0,0.0
"Due to the planets warming climate, hurricanes are maintaining their strength after landfall for much longer, and in turn, expos",0.037500000000000006,0.2875
okay i expected the coups in south america and i expected eco-fascism to keep growing but i admit i did not see this wel,0.10000000000000002,0.43333333333333335
"Next ELECTIONS, I will not VOTE for a candidate if wala siyang solid stance on CLIMATE CHANGE and blueprint for proper UR",0.0,0.06666666666666667
The partnership with Chainlink is a crucial step for Etherisc in its efforts to deliver sustainable solutions that hel,0.0,1.0
Were thrilled to award a Chainlink Community Grant to acreafrica and etherisc The grant helps deliver blockchain-based,0.6,0.7
"nogoodgods GeorgeB13078193 tomsufc12 martinboxing RosebudRowie Nigel Farage BorisJohnson Yep, plastic straws",0.0,0.0
Who is morally responsible for mitigating climate change lgarciaportela writes for this ClimateJustice special issu,0.2785714285714286,0.5607142857142857
AndrewMichler Paolo Bacigalupi Post climate change sci-fi Visceral and wild,0.1,0.4
"Tweeting about mask wearing feels like trying to reverse climate change by putting out recycling bins of course, wear",0.0,0.0
"Weve been warned by scientists across the world and the US military that climate change is one of the greatest threats,",0.45,0.55
We face four historic crises  The worst pandemic in a century The worst economic crisis since the Great Depression The,-0.2,0.5900000000000001
"may mga tao talagang mino-mock yung climate change, no sa bagay, wala silang ibang inisip kung di anong add-ons ang ila",0.0,0.0
So BorisJohnson is going to be greener because of CarrieSymonds s influence Perhaps someone can explain why,0.0,0.0
GerardBattenUK lies about brexit lies about covid-1984 lies about voting fraud lies about the great replacemen,0.8,0.75
As Germany and UK call for climateaction on the ground  police out in force to enforce the destruction of ancient forest,0.0,0.0
"Fast forward to the next election  Stuart Bonds, a climate change denier, has balance of power in a hung parliament  Media a",0.1,0.3
"JoeBiden my niece Devina Barman, 4 years old, is concerned about climate change She wanted to make sure Biden knew abou",0.3,0.5444444444444444
"It is sad that you cant use the terms, vaccine, climate change, 5G, covid-19, and so on even in passing on YouTube",-0.5,1.0
NeedDemocracy cathmckenna TurnbullMalcolm EcoSenseNow We used to be adaptable We also rely on other species th,-0.125,0.375
"Theyve given us a mandate for action on covid, the economy, on climate change, on systemic racism - President-Elect",0.1,0.1
"Due to the planets warming climate, hurricanes are maintaining their strength after landfall for much longer, and in turn, expos",0.037500000000000006,0.2875
Peter Fox59 johnlittle ScottMorrisonMP Promoting a rational response to the climate change emergency would proba,0.0,0.0
We face four historic crises  The worst pandemic in a century The worst economic crisis since the Great Depression The,-0.2,0.5900000000000001
"XrRebel interviewed Jimmy Piaguaje of NSiekopai in Ecuador about their resistance strategies against extractivism, how",0.0,0.0
"Following a grant from Chainlink, a joint project from decentralized insurance protocol Etherisc and microinsurance prov",0.0,0.1
"The Fed Gov has responded to the findings of the bushfireRC While it has addressed some of the recommendations, the G",0.0,0.0
Climate change is real The current government is not the one entirely at fault Lets admit that our destructive actions t,-0.09999999999999999,0.48125000000000007
"hendopolis JohnRentoul Pompous to think we always must lead,how about  we follow,let someone else make the runnin",0.0,0.0
"MontanaSon1 But climate change doesnt exist, yo ☕️� Netflix needs to reboot Captain Planet",0.0,0.0
President Elect Biden inherits 4 needless crises  �Pandemic  �Worst economic crisis in modern history �Racial Injustice  �Ac,0.175,0.6
"The student  eventually learned that she had unearthed a two-million-year-old skull that belonged to Paranthropus robustus,",0.0,0.0
