Tweet,Polarity,Subjectivity
Spooky scary pedo skeleton,-0.5,1.0
PANDA SKELETON FISH SQUIRTS SIENTO QUE ES UN PEZ DE HALLOWEEN  SON HERMOSOS,0.0,0.0
Just here to let @KarenKilgariff know that the Skeleton can be used year-round,0.0,0.0
@JarJarDr1nks Gimme some or I will stop satisfying u,0.5,1.0
the childhood gives you society with the skeleton brush; the appropriated society with the low-budget capitalist ��,0.0,0.0
And for my next trick! * I unzip myself AND MY SKELETON FUCKING LEAPS OUT OF MY SKIN AND STARTS PLAYING WEIRD SCIENCE BY OINGO BOINGO *,-0.3666666666666667,0.6
you know ive always had body dysmorphia and continually thought ive looked fat but when someone tells me i look l,0.0,0.0
zerkingUndead 13 skeleton berserker  was dissolved to death by a worm that walks on Old Forest 1,0.1,0.2
@skeleton jokes Jai essayé de timiter Bro et je nai pas su tégaler,0.0,0.0
New methods and technologies aim to eliminate pain from livestock procedures,0.13636363636363635,0.45454545454545453
"@Dude The Ninja Just the Minecraft skeleton horse, a prediction, thats all",0.0,0.0
@SnapeWasTaken Silly duck for skeleton T-rex or turtle?,-0.5,0.875
This is turning out nicely  art painting artwork skull skeleton darkart halloween decor,0.6,1.0
@RueMorgue Skeleton crew,0.0,0.0
Skeleton of a 8 foot tall German soldier from the 16th century,0.0,0.0
Jason keeps coming back with the science of continuity errors Freddy has that Bugs Bunny magic like “evil dog fire,-0.16666666666666666,0.6666666666666666
Apashe - Skeleton Dance ft Lena  ���➰◾️�,0.0,0.0
Rasputin 33 skeleton archer  was cleaved to death by Greater Mummy Lord and raised as a soulless shuffling mummy on Elven Ruins 3,0.175,0.35
Skeleton of a 8 foot tall German soldier from the 16th century,0.0,0.0
Skeleton of a 8 foot tall German soldier from the 16th century,0.0,0.0
Mens earrings fish Hook/Skeleton of fish mens earrings dangle One Silver earring Single male Earring Gift for Men For g,-0.03571428571428571,0.15714285714285714
let me date  a skeleton,0.0,0.0
Atrapa a santa atroz no lo dejes ir � lo pescamos y después mandalo a dormir �,0.0,0.0
Happy Partially Muscled Skeleton Day my dudes,0.35000000000000003,0.65
@PlayAdoptMe Trading 4 skeleton Rex and 2 albino bats for mega unicorn or neon hedgehog or mega meerkat: ,0.0,0.0
happy halloween! imagine wwx as 白骨精  baigujing/the skeleton demon from ‘journey to the west  and lwj as the courageous travele,1.0,1.0
Just here to let @KarenKilgariff know that the Skeleton can be used year-round,0.0,0.0
Just here to let @KarenKilgariff know that the Skeleton can be used year-round,0.0,0.0
"@Skeleton Chris @crypticnoob @bbytbh Thats because our government fucked up and let people go on vacation, parties",-0.6,0.7
@marimba30 Napoleon Bonaparte  Cause the pronunciation has “bone” in it and hes a skeleton ,0.0,0.0
NonRushtheBandSong ThePolice King of Pain �����️  Theres a king on a throne With his eye,0.0,0.0
"Offering a tray of fingernail clippings and hair to the skeleton king, his bony hand strokes a necklace of my baby teeth",0.0,0.0
That thing about frogs boiling to death if you raise the water temperature gradually? The GOP denying the results of a,0.0,0.0
@igreencupquake she still said no because he is making a mega skeleton rex :  im sorry!,-0.625,1.0
She only has two christmas earrings on her ebay right now but ya know yay anyway! Also this is the skeleton hand,0.17857142857142855,0.7678571428571428
That thing about frogs boiling to death if you raise the water temperature gradually? The GOP denying the results of a,0.0,0.0
@money skeleton @stuffedwaves atua yo mama,0.0,0.0
"@autclove // HAHAHA Literally Im excited Now Ive just gotta get my raven tattoo I have planned, a skeleton, an",0.2875,0.575
Spooky scary skeleton,-0.5,1.0
@JulynnWillex Im scared but I LOVE IT ALL OMG BIG SKELETON!!!! WHATS  ITS NAME???,0.25,0.35
toplaners will say their role is weak and then they fight u like this,-0.375,0.625
Every skeleton in my closet was alive before,0.1,0.4
Skeleton of a 8 foot tall German soldier from the 16th century,0.0,0.0
"@HunterHodies He also has to think about the defense and special teams He might give brad a skeleton of the drive,",0.35714285714285715,0.5714285714285714
Please do yourself a favor and watch The Lost Skeleton of Cadavra  2001 ,0.0,0.0
@hexxzander Better than seeing a skeleton wearing a hooded cloak,0.5,0.5
@gladiatorgut Fat elfcat  Problem  not  solved,0.0,0.0
Happy Partially Muscled Skeleton Day my dudes,0.35000000000000003,0.65
